Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.022200,98.956500,180.000000,top
"C2","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",24.480400,98.105600,90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.689700,98.169100,90.000000,top
"C4","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.073000,97.115000,180.000000,top
"C5","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",20.899000,98.131000,-90.000000,top
"C6","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.120500,24.090000,90.000000,top
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",22.905600,24.001100,-90.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",24.785200,24.013800,-90.000000,top
"C9","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",21.051400,24.051900,-90.000000,top
"C10","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",17.127100,24.013800,90.000000,top
"C11","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",41.879400,110.450000,180.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.603300,101.013400,90.000000,top
"C13","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",42.577900,104.570400,90.000000,top
"C14","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",46.083100,110.386000,180.000000,top
"C15","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.232700,100.684200,90.000000,top
"C16","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.163100,100.684200,90.000000,top
"C17","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",36.189800,107.071800,90.000000,top
"C18","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.240800,97.927800,180.000000,top
"C19","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.817900,108.482000,0.000000,top
"C20","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.412800,107.084500,90.000000,top
"C21","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.959900,96.340300,-90.000000,top
"C22","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",62.567700,110.919400,180.000000,top
"C23","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.426500,110.412400,180.000000,top
"C24","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",68.193800,100.671000,-90.000000,top
"C25","47uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",77.972800,100.721800,-90.000000,top
"C26","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",71.953000,100.696400,90.000000,top
"C27","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.915400,100.696400,90.000000,top
"C28","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.854500,105.408600,180.000000,top
"C29","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",45.905300,103.605200,180.000000,top
"C30","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",55.735100,96.594300,-90.000000,top
"C31","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",53.474500,96.594300,-90.000000,top
"C32","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",80.258800,24.788500,0.000000,top
"C33","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.108200,12.861600,0.000000,top
"C34","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.022600,53.630200,90.000000,top
"C35","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",72.080000,53.731800,90.000000,top
"C36","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.425800,64.552200,90.000000,top
"C37","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",17.546200,65.974600,90.000000,top
"C38","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.428000,27.239600,90.000000,top
"C39","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.523000,27.188800,90.000000,top
"C40","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.040600,64.145800,90.000000,top
"C41","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",52.820000,85.970000,180.000000,top
"C42","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",75.500000,83.330000,-90.000000,top
"C43","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",21.680000,17.470000,90.000000,top
"C44","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.720000,104.170000,-90.000000,top
"C45","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",2.610000,71.260000,180.000000,top
"D1","1N4148","SOD-323_28380031",74.500000,74.510000,90.000000,top
"D2","1N4148","SOD-323_28380031",62.880000,75.410000,0.000000,top
"D3","VSMB10940","DIO_VSMB10940_28380031",29.662000,1.687200,180.000000,top
"D4","VSMB10940","DIO_VSMB10940_28380031",82.836900,6.322700,-140.000000,top
"D5","VSMB10940","DIO_VSMB10940_28380031",83.548100,115.136800,-43.000000,top
"D6","VSMB10940","DIO_VSMB10940_28380031",29.306400,120.115200,0.000000,top
"D8","1N4148","SOD-323_28380031",14.295000,13.295000,0.000000,top
"D9","1N4148","SOD-323_28380031",30.297000,108.722800,-90.000000,top
"FB1","Ferrite","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.917800,98.029400,90.000000,top
"FB2","Ferrite","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.057500,24.102700,-90.000000,top
"FB3","Ferrite","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.790500,108.481000,0.000000,top
"FB5","Ferrite","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.209600,108.506900,0.000000,top
"FB7","Ferrite","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.466600,109.116500,0.000000,top
"FB8","Ferrite","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.426500,108.494200,0.000000,top
"FID1","FIDUCIAL_1MM","FIDUCIAL_1MM_28380031",72.460900,120.349800,180.000000,top
"FID2","FIDUCIAL_1MM","FIDUCIAL_1MM_28380031",8.167200,1.716000,180.000000,top
"IC2","APX803S00-29SR","TSOT-23",23.439000,65.288800,180.000000,top
"IC3","APX803S00-29SA","TSOT-23",23.477100,61.402600,0.000000,top
"IC4","PCT2075D8-HWSON","SON127P600X800X80-9N_28380031",68.854200,48.118400,90.000000,top
"IC5","VEML7700","VEML7700_28380031",10.053200,59.865900,-90.000000,top
"IC6","AW9523","QFN24_4MM_SMSC_28380031",62.504200,35.481900,0.000000,top
"IC7","CAT24C32WI-GT3","SOIC127P600X175-8N_28380031",37.777300,21.638900,0.000000,top
"IR1","TSMP77000","TSMP77000_28380031",89.994800,61.008900,90.000000,top
"LED1","ADDR-RGB-LED-TOP","SK6805-EC20",22.791300,6.957700,0.000000,top
"LED2","ADDR-RGB-LED-TOP","SK6805-EC20",35.834200,6.957700,0.000000,top
"LED3","ADDR-RGB-LED-TOP","SK6805-EC20",48.889800,6.926600,0.000000,top
"LED4","ADDR-RGB-LED-TOP","SK6805-EC20",61.831100,6.906900,0.000000,top
"LED5","ADDR-RGB-LED-TOP","SK6805-EC20",74.010400,7.351400,0.000000,top
"LED6","ADDR-RGB-LED-TOP","SK6805-EC20",83.649700,16.279500,90.000000,top
"LED7","ADDR-RGB-LED-TOP","SK6805-EC20",84.282200,29.030300,90.000000,top
"LED8","ADDR-RGB-LED-TOP","SK6805-EC20",84.272000,41.908100,90.000000,top
"LED9","ADDR-RGB-LED-TOP","SK6805-EC20",84.272000,54.595400,90.000000,top
"LED10","ADDR-RGB-LED-TOP","SK6805-EC20",84.274200,67.308100,90.000000,top
"LED11","ADDR-RGB-LED-TOP","SK6805-EC20",84.230000,80.071600,90.000000,top
"LED12","ADDR-RGB-LED-TOP","SK6805-EC20",84.284700,92.771600,90.000000,top
"LED13","ADDR-RGB-LED-TOP","SK6805-EC20",83.497300,105.738800,90.000000,top
"LED14","ADDR-RGB-LED-TOP","SK6805-EC20",74.581900,114.539400,180.000000,top
"LED15","ADDR-RGB-LED-TOP","SK6805-EC20",61.843800,115.149000,180.000000,top
"LED16","ADDR-RGB-LED-TOP","SK6805-EC20",48.889800,115.225200,180.000000,top
"LED17","ADDR-RGB-LED-TOP","SK6805-EC20",35.872300,115.137800,180.000000,top
"LED18","ADDR-RGB-LED-TOP","SK6805-EC20",22.931000,115.112400,180.000000,top
"LED19","ADDR-RGB-LED-TOP","SK6805-EC20",9.189600,111.643800,-90.000000,top
"LED20","ADDR-RGB-LED-TOP","SK6805-EC20",6.852800,98.879800,-90.000000,top
"LED21","ADDR-RGB-LED-TOP","SK6805-EC20",7.029600,86.167600,-90.000000,top
"LED22","ADDR-RGB-LED-TOP","SK6805-EC20",7.043300,73.480300,-90.000000,top
"LED23","ADDR-RGB-LED-TOP","SK6805-EC20",4.223900,60.475500,-90.000000,top
"LED24","ADDR-RGB-LED-TOP","SK6805-EC20",7.056000,48.385100,-90.000000,top
"LED25","ADDR-RGB-LED-TOP","SK6805-EC20",6.992500,35.812100,-90.000000,top
"LED26","ADDR-RGB-LED-TOP","SK6805-EC20",7.043300,23.035900,-90.000000,top
"LED27","ADDR-RGB-LED-TOP","SK6805-EC20",9.570600,10.247000,-90.000000,top
"OSC1","ECS-3225MV","OSC_2.5X2MM_28380031",64.917200,100.848800,90.000000,top
"Q1","BSS138","SOT23_28380031",18.690000,60.860000,90.000000,top
"Q2","BSS138","SOT23_28380031",77.769600,75.499600,180.000000,top
"Q3","BSS138","SOT23_28380031",62.640000,78.220000,90.000000,top
"Q4","BSS138","SOT23_28380031",71.980000,110.040000,-90.000000,top
"Q5","BSS138","SOT23_28380031",14.020200,103.885400,90.000000,top
"Q6","BSS138","SOT23_28380031",24.540000,16.920000,180.000000,top
"Q7","BSS138","SOT23_28380031",18.003000,110.989000,0.000000,top
"Q8","BSS138","SOT23_28380031",56.923000,6.879000,-90.000000,top
"R1","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",70.124200,100.696400,-90.000000,top
"R2","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",73.959600,100.721800,-90.000000,top
"R3","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",23.781900,58.367300,180.000000,top
"R4","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",23.439000,56.221000,0.000000,top
"R5","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",30.160000,25.060000,90.000000,top
"R6","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",16.911200,19.035400,180.000000,top
"R7","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",16.809600,20.635600,180.000000,top
"R8","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",75.940800,71.499100,180.000000,top
"R9","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",66.680000,76.500000,180.000000,top
"R10","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",66.657500,79.040000,180.000000,top
"R11","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",66.060000,42.790000,90.000000,top
"R12","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",20.990000,13.900000,-90.000000,top
"R13","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",80.360400,22.566000,0.000000,top
"R14","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",70.843000,106.909000,0.000000,top
"R15","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",32.456000,108.418000,90.000000,top
"R16","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",34.157800,97.750000,-90.000000,top
"R17","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",79.979400,54.366800,90.000000,top
"R18","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",27.414100,16.851000,90.000000,top
"R19","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",19.260700,56.792500,180.000000,top
"R20","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.818400,23.124800,-90.000000,top
"R21","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",60.027700,21.727800,-90.000000,top
"R22","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",26.474300,68.540000,180.000000,top
"R23","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",26.804500,52.868200,0.000000,top
"R24","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",30.309700,68.552700,0.000000,top
"R25","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",30.322400,52.842800,0.000000,top
"R26","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",40.622100,53.896900,0.000000,top
"R27","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",40.418900,67.981200,0.000000,top
"R28","3.9K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",44.571800,21.042000,180.000000,top
"R29","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",21.910000,20.670000,0.000000,top
"R30","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",44.546400,22.731100,180.000000,top
"R31","3.9K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",44.597200,19.225900,180.000000,top
"R32","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",26.385400,97.978600,90.000000,top
"R33","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",26.817200,23.963000,-90.000000,top
"R34","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",66.280000,30.220000,-90.000000,top
"R35","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",67.620000,40.900000,-90.000000,top
"R36","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",69.250000,39.990000,-90.000000,top
"R37","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",69.640000,32.360000,90.000000,top
"R38","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",67.830000,30.770000,90.000000,top
"R39","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",32.220000,19.660000,-90.000000,top
"R40","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",70.750000,86.740000,0.000000,top
"R41","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",58.250000,39.740000,-90.000000,top
"R42","20","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",87.580000,55.330000,90.000000,top
"SW1","TACTILE_SWITCH","E-SWITCH_TL3315NF160Q_0_28380031",26.880700,41.069900,180.000000,top
"SW2","TACTILE_SWITCH","E-SWITCH_TL3315NF160Q_0_28380031",27.706200,80.376400,0.000000,top
"SW3","TACTILE_SWITCH","E-SWITCH_TL3315NF160Q_0_28380031",33.484700,41.069900,180.000000,top
"SW4","TACTILE_SWITCH","E-SWITCH_TL3315NF160Q_0_28380031",39.263200,80.376400,0.000000,top
"SW5","TACTILE_SWITCH","E-SWITCH_TL3315NF160Q_0_28380031",40.088700,41.006400,180.000000,top
"SW6","TACTILE_SWITCH","E-SWITCH_TL3315NF160Q_0_28380031",53.296700,53.325400,0.000000,top
"SW7","TACTILE_SWITCH","E-SWITCH_TL3315NF160Q_0_28380031",53.360200,68.692400,0.000000,top
"TFT1","DISP_TFT_1.54IN_240X240_22P_TOP_FPC","TFT_1.54IN_240X240_22PN_TOP_FPC_28380031",33.357700,61.021600,-90.000000,top
"U1","MIC","SPW2430HR5H-B_28380031",21.556700,90.993600,90.000000,top
"U2","MIC","SPW2430HR5H-B_28380031",21.555700,30.977900,90.000000,top
"U3","AP2112-3.3K","SOT23-5_28380031",37.802700,102.944800,-90.000000,top
